ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
GO:0000070,mitotic sister chromatid segregation,8/229,110/15562,2.1977594122988956e-4,0.02937524170528944,0.027953911985947575,8,bp,knockout-effect,13006/110033/18817/105513/268697/229841/70218/105988,Smc3/Kif22/Plk1/Chmp7/Ccnb1/Cenpe/Kif18b/Espl1
GO:0000280,nuclear division,22/229,484/15562,2.87199712186978e-6,0.003228074181430634,0.0030718828616675925,22,bp,knockout-effect,56739/20877/21973/14793/75178/13006/74107/19361/12428/208628/110033/18817/17345/12442/71819/211651/105513/268697/229841/70218/105988/70645,Rec8/Aurkb/Top2a/Cdca3/Meiob/Smc3/Cep55/Rad51/Ccna2/Kntc1/Kif22/Plk1/Mki67/Ccnb2/Kif23/Fancd2/Chmp7/Ccnb1/Cenpe/Kif18b/Espl1/Oip5
GO:0000775,"chromosome, centromeric region",10/231,166/15746,1.717102250722913e-4,0.008084100191644262,0.00760750362092616,10,cc,knockout-effect,56739/20877/13006/208628/18817/17345/268697/381280/229841/70645,Rec8/Aurkb/Smc3/Kntc1/Plk1/Mki67/Ccnb1/Hjurp/Cenpe/Oip5
GO:0000776,kinetochore,7/231,114/15746,0.0014549799695891233,0.02941138081383728,0.027677438519251744,7,cc,knockout-effect,56739/20877/208628/18817/268697/381280/229841,Rec8/Aurkb/Kntc1/Plk1/Ccnb1/Hjurp/Cenpe
GO:0000777,condensed chromosome kinetochore,5/231,26/15746,3.3281782973449695e-5,0.002354686145371566,0.002215866076916519,5,cc,knockout-effect,56739/18817/268697/381280/229841,Rec8/Plk1/Ccnb1/Hjurp/Cenpe
GO:0000779,"condensed chromosome, centromeric region",6/231,39/15746,2.0328913344691625e-5,0.0019176941588492432,0.0018046368688445548,6,cc,knockout-effect,56739/20877/18817/268697/381280/229841,Rec8/Aurkb/Plk1/Ccnb1/Hjurp/Cenpe
GO:0000780,"condensed nuclear chromosome, centromeric region",5/231,19/15746,6.397681671185468e-6,9.052719564727437e-4,8.519018225315386e-4,5,cc,knockout-effect,56739/20877/18817/268697/229841,Rec8/Aurkb/Plk1/Ccnb1/Cenpe
GO:0000793,condensed chromosome,11/231,126/15746,2.4684968238656623e-06,6.985846011539824e-4,6.573996804610659e-4,11,cc,knockout-effect,56739/20877/21973/13006/19361/18817/17345/211651/268697/381280/229841,Rec8/Aurkb/Top2a/Smc3/Rad51/Plk1/Mki67/Fancd2/Ccnb1/Hjurp/Cenpe
GO:0000794,condensed nuclear chromosome,7/231,79/15746,1.578918842553576e-4,0.008084100191644262,0.00760750362092616,7,cc,knockout-effect,56739/20877/13006/19361/18817/268697/229841,Rec8/Aurkb/Smc3/Rad51/Plk1/Ccnb1/Cenpe
GO:0000795,synaptonemal complex,4/231,30/15746,9.16512492021531e-4,0.019951771941699482,0.018775519067323672,4,cc,knockout-effect,56739/13006/19361/18817,Rec8/Smc3/Rad51/Plk1
GO:0000800,lateral element,3/231,11/15746,4.713873940929561e-4,0.01212751204802787,0.011412536909618937,3,cc,knockout-effect,56739/13006/19361,Rec8/Smc3/Rad51
GO:0000819,sister chromatid segregation,9/229,133/15562,1.549476210989849e-4,0.026064403406293533,0.0248032695729127,9,bp,knockout-effect,21973/13006/110033/18817/105513/268697/229841/70218/105988,Top2a/Smc3/Kif22/Plk1/Chmp7/Ccnb1/Cenpe/Kif18b/Espl1
GO:0000940,condensed chromosome outer kinetochore,3/231,13/15746,7.995206714697555e-4,0.018855362502161733,0.017743748235249837,3,cc,knockout-effect,18817/268697/229841,Plk1/Ccnb1/Cenpe
GO:0005819,spindle,11/231,208/15746,2.566764075760246e-4,0.00907992791800187,0.008544622515359767,11,cc,knockout-effect,20877/13006/13605/208628/110033/18817/71819/268697/229841/70218/105988,Aurkb/Smc3/Ect2/Kntc1/Kif22/Plk1/Kif23/Ccnb1/Cenpe/Kif18b/Espl1
GO:0005874,microtubule,15/231,365/15746,3.3161410962781235e-4,0.010427421447185654,0.009812674822904856,15,cc,knockout-effect,20877/20975/227634/320554/208628/110033/18817/71566/71819/13417/80986/229841/70218/68922/21648,Aurkb/Synj2/Camsap1/Tcp11l1/Kntc1/Kif22/Plk1/Clmp/Kif23/Dnah8/Ckap2/Cenpe/Kif18b/Dnaic1/Dynlt1b
GO:0005875,microtubule associated complex,8/231,123/15746,4.603408385648371e-4,0.01212751204802787,0.011412536909618937,8,cc,knockout-effect,20877/110033/71819/13417/229841/70218/68922/21648,Aurkb/Kif22/Kif23/Dnah8/Cenpe/Kif18b/Dnaic1/Dynlt1b
GO:0005881,cytoplasmic microtubule,5/231,62/15746,0.0021338425138196816,0.040258495427398,0.03788506357869329,5,cc,knockout-effect,20975/71566/80986/70218/21648,Synj2/Clmp/Ckap2/Kif18b/Dynlt1b
GO:0006063,uronic acid metabolic process,5/229,22/15562,1.4178988510464771e-5,0.0037101686602382822,0.0035306510571671925,5,bp,knockout-effect,100559/394433/394436/394430/394434,Ugt2b38/Ugt1a5/Ugt1a1/Ugt1a10/Ugt1a9
GO:0007059,chromosome segregation,15/229,248/15562,4.112196409465776e-6,0.003228074181430634,0.0030718828616675925,15,bp,knockout-effect,56739/21973/75178/13006/13605/110033/18817/211651/105513/22137/268697/381280/229841/70218/105988,Rec8/Top2a/Meiob/Smc3/Ect2/Kif22/Plk1/Fancd2/Chmp7/Ttk/Ccnb1/Hjurp/Cenpe/Kif18b/Espl1
GO:0007067,mitotic nuclear division,16/229,385/15562,1.9155821762381395e-4,0.02937524170528944,0.027953911985947575,16,bp,knockout-effect,20877/14793/13006/74107/12428/208628/110033/18817/12442/71819/105513/268697/229841/70218/105988/70645,Aurkb/Cdca3/Smc3/Cep55/Ccna2/Kntc1/Kif22/Plk1/Ccnb2/Kif23/Chmp7/Ccnb1/Cenpe/Kif18b/Espl1/Oip5
GO:0007126,meiotic nuclear division,9/229,133/15562,1.549476210989849e-4,0.026064403406293533,0.0248032695729127,9,bp,knockout-effect,56739/21973/75178/13006/19361/18817/17345/211651/105988,Rec8/Top2a/Meiob/Smc3/Rad51/Plk1/Mki67/Fancd2/Espl1
GO:0007127,meiosis I,7/229,71/15562,8.147147070495324e-5,0.017442301228196806,0.016598350347449328,7,bp,knockout-effect,56739/21973/75178/19361/18817/211651/105988,Rec8/Top2a/Meiob/Rad51/Plk1/Fancd2/Espl1
GO:0009812,flavonoid metabolic process,5/229,22/15562,1.4178988510464771e-5,0.0037101686602382822,0.0035306510571671925,5,bp,knockout-effect,100559/394433/394436/394430/394434,Ugt2b38/Ugt1a5/Ugt1a1/Ugt1a10/Ugt1a9
GO:0009813,flavonoid biosynthetic process,5/229,20/15562,8.550833379387244e-6,0.0037101686602382822,0.0035306510571671925,5,bp,knockout-effect,100559/394433/394436/394430/394434,Ugt2b38/Ugt1a5/Ugt1a1/Ugt1a10/Ugt1a9
GO:0019585,glucuronate metabolic process,5/229,22/15562,1.4178988510464771e-5,0.0037101686602382822,0.0035306510571671925,5,bp,knockout-effect,100559/394433/394436/394430/394434,Ugt2b38/Ugt1a5/Ugt1a1/Ugt1a10/Ugt1a9
GO:0042182,ketone catabolic process,3/229,11/15562,4.755566564158061e-4,0.04869286634170537,0.04633684766632729,3,bp,knockout-effect,67041/109801/213350,Oxct1/Glo1/Pddc1
GO:0045132,meiotic chromosome segregation,6/229,55/15562,1.5096005391124198e-4,0.026064403406293533,0.0248032695729127,6,bp,knockout-effect,56739/21973/75178/18817/211651/105988,Rec8/Top2a/Meiob/Plk1/Fancd2/Espl1
GO:0045143,homologous chromosome segregation,5/229,38/15562,2.231149291989823e-4,0.02937524170528944,0.027953911985947575,5,bp,knockout-effect,56739/75178/18817/211651/105988,Rec8/Meiob/Plk1/Fancd2/Espl1
GO:0051304,chromosome separation,7/229,65/15562,4.595643137550302e-5,0.010822739588930961,0.010299078147204835,7,bp,knockout-effect,21973/75178/18817/22137/268697/229841/105988,Top2a/Meiob/Plk1/Ttk/Ccnb1/Cenpe/Espl1
GO:0051321,meiotic cell cycle,10/229,179/15562,3.23141507215726e-4,0.0362380118806207,0.03448462500562811,10,bp,knockout-effect,56739/21973/75178/13006/19361/18817/17345/211651/105988/195434,Rec8/Top2a/Meiob/Smc3/Rad51/Plk1/Mki67/Fancd2/Espl1/Utp14b
GO:0051984,positive regulation of chromosome segregation,4/229,21/15562,2.2452414042259443e-4,0.02937524170528944,0.027953911985947575,4,bp,knockout-effect,18817/268697/229841/105988,Plk1/Ccnb1/Cenpe/Espl1
GO:0051988,regulation of attachment of spindle microtubules to kinetochore,3/229,11/15562,4.755566564158061e-4,0.04869286634170537,0.04633684766632729,3,bp,knockout-effect,13605/268697/229841,Ect2/Ccnb1/Cenpe
GO:0052695,cellular glucuronidation,5/229,21/15562,1.1088908908726065e-5,0.0037101686602382822,0.0035306510571671925,5,bp,knockout-effect,100559/394433/394436/394430/394434,Ugt2b38/Ugt1a5/Ugt1a1/Ugt1a10/Ugt1a9
GO:0052696,flavonoid glucuronidation,5/229,20/15562,8.550833379387244e-6,0.0037101686602382822,0.0035306510571671925,5,bp,knockout-effect,100559/394433/394436/394430/394434,Ugt2b38/Ugt1a5/Ugt1a1/Ugt1a10/Ugt1a9
GO:0061640,cytoskeleton-dependent cytokinesis,5/229,40/15562,2.8558133826718307e-4,0.03362720258096081,0.03200014048267541,5,bp,knockout-effect,20877/74107/18817/71819/80986,Aurkb/Cep55/Plk1/Kif23/Ckap2
GO:0072686,mitotic spindle,6/231,58/15746,1.999600754116955e-4,0.008084100191644262,0.00760750362092616,6,cc,knockout-effect,20877/13605/110033/71819/229841/105988,Aurkb/Ect2/Kif22/Kif23/Cenpe/Espl1
GO:0098813,nuclear chromosome segregation,13/229,182/15562,2.998006569379711e-6,0.003228074181430634,0.0030718828616675925,13,bp,knockout-effect,56739/21973/75178/13006/13605/110033/18817/211651/105513/268697/229841/70218/105988,Rec8/Top2a/Meiob/Smc3/Ect2/Kif22/Plk1/Fancd2/Chmp7/Ccnb1/Cenpe/Kif18b/Espl1
GO:1903046,meiotic cell cycle process,9/229,143/15562,2.673856809710943e-4,0.03314175150983827,0.03153817810456841,9,bp,knockout-effect,56739/21973/75178/13006/19361/18817/17345/211651/105988,Rec8/Top2a/Meiob/Smc3/Rad51/Plk1/Mki67/Fancd2/Espl1
mmu00040,Pentose and glucuronate interconversions,6/114,35/6004,4.253826531641587e-5,9.054573617351377e-4,8.507653063283174e-4,6,kg,knockout-effect,20322/100559/394433/394436/394430/394434,Sord/Ugt2b38/Ugt1a5/Ugt1a1/Ugt1a10/Ugt1a9
mmu00053,Ascorbate and aldarate metabolism,5/114,26/6004,1.0809690036404884e-4,0.0017896042393603642,0.0016815073389963152,5,kg,knockout-effect,100559/394433/394436/394430/394434,Ugt2b38/Ugt1a5/Ugt1a1/Ugt1a10/Ugt1a9
mmu00140,Steroid hormone biosynthesis,9/114,83/6004,2.369640549146495e-5,7.061528836456556e-4,6.634993537610186e-4,9,kg,knockout-effect,13074/13094/13096/100559/15493/394433/394436/394430/394434,Cyp17a1/Cyp2b9/Cyp2c37/Ugt2b38/Hsd3b2/Ugt1a5/Ugt1a1/Ugt1a10/Ugt1a9
mmu00480,Glutathione metabolism,7/114,56/6004,7.954952310409516e-5,0.0014816098678137725,0.0013921166543216653,7,kg,knockout-effect,103140/14859/14860/71522/20603/671878/14857,Gstt3/Gsta3/Gsta4/Ggt6/Sms/Sms/Gsta1
mmu00500,Starch and sucrose metabolism,6/114,48/6004,2.631031313346508e-4,0.003920236656886297,0.003683443838685111,6,kg,knockout-effect,100559/11722/394433/394436/394430/394434,Ugt2b38/Amy1/Ugt1a5/Ugt1a1/Ugt1a10/Ugt1a9
