ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,direction,symbols,interesting
GO:0000226,microtubule cytoskeleton organization,90/2653,397/15562,0.0021454700029915593,0.04308783614260757,0.037547906572115146,90,bp,treatment-effect-on-ko,down,Sirt2/Ube2b/Sbds/Pex14/Prkcz/Dixdc1/Uvrag/Wdr81/C2cd3/Efna5/Bcas3,FALSE
GO:0000226,microtubule cytoskeleton organization,90/2653,397/15562,0.0021454700029915593,0.04308783614260757,0.037547906572115146,90,bp,treatment-effect-on-ko,up,Spag5/Bicd1/Kif20a/Spc25/Nav1/Spire2/Kif11/Brca1/Birc5/Map1s/Sgk1/Mdm1/Aurkb/Nin/Cep72/Plk2/Ska3/Bora/Nde1/Nckap5l/Racgap1/Ndc80/Spire1/Cep192/Plk4/Srgap2/Nek2/Abl1/Kif18a/Nusap1/Knstrn/Tpx2/Gpsm2/Arhgef2/Lmna/Dclk2/Capzb/Stmn1/Rcc1/Chek2/Tuba8/Flna/Ccsap/Kif23/Stard9/Tubgcp5/Aspm/Gas2l1/Kif4/Inpp5j/Mid1/Haus8/Ska1/Wdr62/Spry1/Tacc3/Cep85/Ckap2/Cntln/Cep250/Ywhaq/Cdk5rap2/Cc2d2a/2810417H13Rik/Ckap5/Ofd1/Ccnb1/Phldb1/Gen1/Rgs14/Ezr/Eml1/Espl1/Gda/Cenpj/Capn6/Psrc1/Gas2l3/Aunip/Kifc1,FALSE
GO:0000252,C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity,10/2634,24/15510,0.0038190011659841616,0.04519769341101644,0.03938040037279529,10,mf,treatment-effect-on-ko,down,Akr1c21/Akr1c13/Adh5/Bdh2/Sdr42e1/Hsd3b5/Sdr9c7/H2-Ke6,FALSE
GO:0000252,C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity,10/2634,24/15510,0.0038190011659841616,0.04519769341101644,0.03938040037279529,10,mf,treatment-effect-on-ko,up,Kcnab2/Htatip2,FALSE
GO:0000280,nuclear division,122/2653,484/15562,2.560806804413399e-6,3.872250289097837e-4,3.374383703040431e-4,122,bp,treatment-effect-on-ko,down,Calr/Phb2/Sirt2/Actr8/Top2b/Igf1/Ube2b/Pttg1/Tom1l1/Meiob/Psmg2/Jtb/Sh2b1/Fgfr2/Dis3l2/Tcf7l1/Klhl21,FALSE
GO:0000280,nuclear division,122/2653,484/15562,2.560806804413399e-6,3.872250289097837e-4,3.374383703040431e-4,122,bp,treatment-effect-on-ko,up,Pdgfb/Spag5/Rec8/Tgfb1/Spc25/Bmp7/Spire2/Kif11/Cdc6/Birc5/Ywhah/Chtf18/Fam64a/Aurkb/Top2a/Nedd9/Trip13/Ska3/Bora/Sh3bp1/Nde1/Mis18a/Racgap1/Cdca3/Ndc80/Spire1/Cep192/Pdgfrb/Incenp/Cdca5/Kif20b/Cep55/Chmp6/Actr3/Nek2/Mastl/Kif18a/Nusap1/Rad51/Casc5/Cdc25b/Knstrn/Bub1/Tpx2/Lrrcc1/Dsn1/Ccna2/Arhgef2/Pmf1/Gem/Smc2/Ndc1/Rcc1/Kntc1/Anapc5/Cit/Chek2/Lfng/Mad2l1/Anapc15/Flna/Cenpn/Ccsap/Ccnb2/Kif23/Topbp1/Syde1/Fanca/Ttc28/Reep4/Tubgcp5/Aspm/Fancd2/Kif4/Smc4/Lif/Ncaph/Haus8/Ska1/Cenpt/Cep85/Ncapd2/Htatip2/Ckap5/Rbbp8/Ccnb1/Ncapg2/Cdc25c/Cenph/Mis18bp1/Cdca2/Gsg2/Ercc6l/Gen1/Rgs14/Espl1/Rad51b/Ube2s/Cks2/Tubb3/Nsl1/Psrc1/Apitd1/Spc24/Cenpw,FALSE
GO:0000302,response to reactive oxygen species,42/2653,148/15562,3.915221079537648e-4,0.013764306079945927,0.011994588844268881,42,bp,treatment-effect-on-ko,down,Sod2/Endog/Glrx2/Sod1/Prdx5/Prdx6/Cat/Pink1/Park7/Ppargc1b/Gch1/Pdk2/Fabp1/Gstp1/Gpx1/Txnrd2,FALSE
GO:0000302,response to reactive oxygen species,42/2653,148/15562,3.915221079537648e-4,0.013764306079945927,0.011994588844268881,42,bp,treatment-effect-on-ko,up,Mapk7/Akr1b3/Axl/Cd36/Nqo1/Psap/Epor/Fbln5/Akr1c18/Mtr/Impact/Lcn2/Abl1/Hgf/Nos3/Pdgfra/Btk/Mmp2/Apoa4/Nudt15/Ucp2/Rhob/Slc8a1/Lig1/Bcl2/Sod3,FALSE
GO:0000302,response to reactive oxygen species,42/2653,148/15562,3.915221079537648e-4,0.013764306079945927,0.011994588844268881,42,bp,treatment-effect-on-ko,NA,Gstp1,FALSE
GO:0000303,response to superoxide,11/2653,24/15562,9.79147097061103e-4,0.024552482484094994,0.021395697741123598,11,bp,treatment-effect-on-ko,down,Sod2/Sod1/Park7/Gch1,FALSE
GO:0000303,response to superoxide,11/2653,24/15562,9.79147097061103e-4,0.024552482484094994,0.021395697741123598,11,bp,treatment-effect-on-ko,up,Cd36/Nqo1/Fbln5/Nos3/Apoa4/Ucp2/Sod3,FALSE
GO:0000305,response to oxygen radical,12/2653,25/15562,3.4009067629773144e-4,0.012856458141861211,0.011203465580430052,12,bp,treatment-effect-on-ko,down,Sod2/Sod1/Park7/Gch1/Txnrd2,FALSE
GO:0000305,response to oxygen radical,12/2653,25/15562,3.4009067629773144e-4,0.012856458141861211,0.011203465580430052,12,bp,treatment-effect-on-ko,up,Cd36/Nqo1/Fbln5/Nos3/Apoa4/Ucp2/Sod3,FALSE
GO:0000775,"chromosome, centromeric region",48/2691,166/15746,1.0152507742899159e-4,0.0023791288881159114,0.0020478016698827223,48,cc,treatment-effect-on-ko,down,Ppp2r5a/Uvrag/Wdr81,FALSE
GO:0000775,"chromosome, centromeric region",48/2691,166/15746,1.0152507742899159e-4,0.0023791288881159114,0.0020478016698827223,48,cc,treatment-effect-on-ko,up,Spag5/Rec8/Dnmt1/Spc25/Dynll1/Birc5/Ikzf1/Nudcd2/Dnmt3a/Aurkb/Cenpp/Ska3/Esco2/Nde1/Mis18a/Cenpq/Ndc80/Incenp/Nek2/Kif18a/Casc5/Knstrn/Bub1/Dsn1/Pmf1/Kntc1/Lrwd1/Mad2l1/Cenpi/Cenpu/Cenpn/Ska1/Cenpt/Ncapd2/Suv39h1/Ccnb1/Cenph/Mis18bp1/Sept6/Ercc6l/Nsl1/Cenpm/Apitd1/Spc24/Cenpw,FALSE
GO:0000776,kinetochore,36/2691,114/15746,1.0551804780844159e-4,0.0023791288881159114,0.0020478016698827223,36,cc,treatment-effect-on-ko,down,Wdr81,FALSE
GO:0000776,kinetochore,36/2691,114/15746,1.0551804780844159e-4,0.0023791288881159114,0.0020478016698827223,36,cc,treatment-effect-on-ko,up,Spag5/Rec8/Spc25/Dynll1/Birc5/Nudcd2/Aurkb/Ska3/Nde1/Ndc80/Incenp/Nek2/Kif18a/Casc5/Knstrn/Bub1/Dsn1/Pmf1/Kntc1/Mad2l1/Cenpi/Cenpu/Cenpn/Ska1/Cenpt/Ccnb1/Cenph/Mis18bp1/Sept6/Ercc6l/Nsl1/Cenpm/Apitd1/Spc24/Cenpw,FALSE
GO:0000777,condensed chromosome kinetochore,12/2691,26/15746,5.468287011260315e-4,0.008582172670450217,0.007386984208193759,12,cc,treatment-effect-on-ko,up,Rec8/Spc25/Birc5/Ska3/Ndc80/Bub1/Dsn1/Pmf1/Ska1/Ccnb1/Mis18bp1/Nsl1,FALSE
GO:0000779,"condensed chromosome, centromeric region",14/2691,39/15746,0.003715728711400637,0.04665303826536355,0.04015594537232969,14,cc,treatment-effect-on-ko,up,Rec8/Spc25/Birc5/Aurkb/Ska3/Ndc80/Bub1/Dsn1/Pmf1/Ska1/Ncapd2/Ccnb1/Mis18bp1/Nsl1,FALSE
GO:0000922,spindle pole,33/2691,87/15746,2.7760217843944264e-6,9.802826926142818e-5,8.437645160462007e-5,33,cc,treatment-effect-on-ko,down,Sbds/Topors/Klhl21,FALSE
GO:0000922,spindle pole,33/2691,87/15746,2.7760217843944264e-6,9.802826926142818e-5,8.437645160462007e-5,33,cc,treatment-effect-on-ko,up,Unc119/Kif11/Cdc6/Aurkb/Nin/Nedd9/Nde1/Poc1a/Kif20b/Nek2/Cdc25b/Tpx2/Gpsm2/Kntc1/Mad2l1/Ttc28/Tubgcp5/Aspm/Wdr62/Cep85/Dlgap5/Cep250/Ywhaq/Cdk5rap2/Ckap5/Ccnb1/Rgs14/Eml1/Psrc1/Aunip/Kifc1,FALSE
GO:0001101,response to acid chemical,49/2653,192/15562,0.0018329504664170767,0.03925503359408246,0.03420789869784931,49,bp,treatment-effect-on-ko,down,Egfr/Cbs/Rbp4/Scamp3/Lamtor2/Dgat2/Hsd17b2/Yjefn3/Ndufa13/Hlcs,FALSE
GO:0001101,response to acid chemical,49/2653,192/15562,0.0018329504664170767,0.03925503359408246,0.03420789869784931,49,bp,treatment-effect-on-ko,up,Pparg/Pdgfb/Col6a1/Rarg/Col1a1/Akr1b3/Cd36/Dnmt1/Tek/Id3/Pdk4/Dnmt3a/Akr1c18/Runx1/Twf2/Igf2r/Scd2/Col5a2/Col3a1/Atp2b4/Tlr2/Pdgfc/Add1/Pdgfra/Col1a2/Col4a1/Mmp2/Anxa2/Tie1/Pdk3/Sh3bp4/Ptger2/Acer2/Socs1/Tlr4/P2ry6/Krt8/Mest/Bcl2/Cdkn2d,FALSE
GO:0001525,angiogenesis,112/2653,394/15562,8.907590310581578e-9,4.2143462311303416e-6,3.6724953656364186e-6,112,bp,treatment-effect-on-ko,down,Apoh/Serpinf1/Angptl4/Hspb1/Hrg/Cela1/F3/Adipor2/Fgfr2/Map2k5/Bcas3/Gpx1/Prok1,FALSE
GO:0001525,angiogenesis,112/2653,394/15562,8.907590310581578e-9,4.2143462311303416e-6,3.6724953656364186e-6,112,bp,treatment-effect-on-ko,up,Itgb2/Acvrl1/Itga5/Mapk7/Ramp2/Efnb2/Cd36/Hdac9/Tek/Elk3/Dll1/Brca1/Ptgis/Sparc/Ahr/Dcn/Ptprb/Meis1/Flt4/Rtn4/Gna13/Ace/Itgb3/Plcd3/Vash1/Tnfaip2/Syk/Hdac7/Adamts1/Runx1/Fmnl3/Thbs2/Tnfrsf12a/C3/Pdgfrb/Pdgfa/Sox17/Nrp2/Hc/Egfl7/Dll4/Adam15/Ecm1/Tal1/Hgf/Wasf2/Nos3/Add1/Pdgfra/Anxa3/Flt1/Ephb4/Plxnd1/Tnfrsf1a/Mfge8/Adm/Flna/Adgra2/Col4a1/Col4a2/Ednra/Mmp2/Adgrg1/Bmper/Ets1/Robo4/Mcam/Anxa2/Tgfbr2/Tie1/Vav3/Loxl2/Ramp1/Lif/Cxcl10/Prkx/Hoxa5/Htatip2/C3ar1/Mmrn2/Gpr4/Ackr3/Tcf21/Adrb2/Sox18/Ccr2/C5ar1/Cx3cr1/Cysltr1/Prkcb/Rhob/Bak1/Adra2b/Calcrl/Prcp/Kdr/Arhgap22/Gdf2/Ecscr,FALSE
GO:0001558,regulation of cell growth,86/2653,346/15562,1.2542910795699378e-4,0.0068031657467978145,0.005928462757097726,86,bp,treatment-effect-on-ko,down,Apoe/Ulk2/Ndufs3/Igfbp4/Derl2/Igf1/Pttg1/Hrg/Smarca2/Serpine2/F2/Slc25a33/Adipor2/Uri1/Syt3/Ilk/Ryk/Syt1/Yjefn3/Ndufa13/Htra4/Efna5/Gas1/Map2k5/Fbp1,FALSE
GO:0001558,regulation of cell growth,86/2653,346/15562,1.2542910795699378e-4,0.0068031657467978145,0.005928462757097726,86,bp,treatment-effect-on-ko,up,Pparg/Acvrl1/Mmp14/Sema6b/Ifrd1/Ppard/Tgfb1/Ddr1/Cd44/Clstn3/Crlf3/Sema6a/Sgk1/Flt4/Cdkl3/Rtn4/Ntn1/Dab2/Col14a1/Fhl1/Twf2/Tnfrsf12a/Pi16/Epb41l3/Sox17/Sgk3/Sema4c/Abl1/Zmat3/Adam15/Sdcbp/Cdkn2c/Ppt1/Cda/Cd38/Cgref1/Rasal1/Limk1/Plxna4/Plxna1/Plxnd1/Arhgap4/Plxna3/G6pdx/Slc25a4/Gas2l1/Dbn1/Sema3f/Cdhr2/Sh3bp4/Igfbp7/Ppp1r9b/Sfn/Gja1/Adam17/Adam10/Bcl2/Erbb2/Psrc1/Gdf2/Plxnc1/Cdkn2d,FALSE
GO:0001667,ameboidal-type cell migration,75/2653,300/15562,2.7267555270560877e-4,0.011062203317081201,0.009639903365227813,75,bp,treatment-effect-on-ko,down,Apoh/Serpinf1/Apoe/Hspb1/Sdc4/C1qbp/Pbld2/Hrg/Csnk2b/Epb41l4b/Ilk/Apoa1/Atoh8/Map2k5/Bcas3/Gpx1,FALSE
GO:0001667,ameboidal-type cell migration,75/2653,300/15562,2.7267555270560877e-4,0.011062203317081201,0.009639903365227813,75,bp,treatment-effect-on-ko,up,Itgb2/Pdgfb/Acvrl1/Timp1/Sema6b/Efnb2/Ppard/Tgfb1/Gab2/Coro1c/Hdac9/Kit/Tek/Amotl1/Stc1/Lama5/Sparc/Gipc1/Sema6a/Dcn/Flt4/Itgb3/Cygb/Vash1/Hdac7/Cd63/Sox17/Nrp2/Sema4c/Srgap2/Ddr2/Pkn3/Itga4/Dll4/Schip1/Glipr2/Wasf2/Nos3/Anxa3/Ephb4/Plxnd1/Arhgap4/Adgra2/Arhgef7/Bmper/Ets1/Tgfbr2/Prr5l/Loxl2/Sema3f/Prkx/Mmrn2/Arsb/Rhob/Slc8a1/Ptp4a3/Prcp/Kdr/Gdf2,FALSE
GO:0001676,long-chain fatty acid metabolic process,30/2653,89/15562,9.98796665595344e-5,0.006006532401357407,0.0052342548992738,30,bp,treatment-effect-on-ko,down,Acsl1/Acsl6/Ephx2/Cyp2d26/Cyp4f14/Cyp2c44/Cyp2e1/Slc27a2/Slc27a5/Pnpla8/Daglb/Cyp2j5/Cyp2j6/Cyp2f2/Cyp2a12/Cyp2d22/Cyp2c67/Cyp2d40/Cyp2d9/Cyp2a22/Cyp2d10/Cyp2d12,FALSE
GO:0001676,long-chain fatty acid metabolic process,30/2653,89/15562,9.98796665595344e-5,0.006006532401357407,0.0052342548992738,30,bp,treatment-effect-on-ko,up,Cd36/Cyp4f18/Acot2/Cyp2c55/Cyp2b10/Myo5a/Cyp2b9/Cyp2a4,FALSE
GO:0001817,regulation of cytokine production,119/2653,483/15562,1.0827504146115936e-5,0.0010805849137823704,9.41650939528525e-4,119,bp,treatment-effect-on-ko,down,Il12rb1/Irf3/Ndrg2/Hspb1/Apoa2/Tusc2/C1qbp/Il1rap/Sod1/Ndfip1/Park7/Prkcz/Apoa1/Atg9a/Polr3g/Crp/Map2k5/B2m/Gstp1/Ceacam1,TRUE
GO:0001817,regulation of cytokine production,119/2653,483/15562,1.0827504146115936e-5,0.0010805849137823704,9.41650939528525e-4,119,bp,treatment-effect-on-ko,up,Pparg/Icosl/Axl/Tgfb1/Il17ra/Cd36/Relb/Stat5a/Ly9/Cd244/Il27ra/Prg4/Tek/Gprc5b/Dll1/Lpl/Il17rb/H2-M3/Mapkapk2/Brca1/Arrb1/Vsir/Sptbn1/Flt4/Havcr2/Trib2/Sec14l1/Syk/Ripk3/Hdac7/Nckap1l/Mefv/Runx1/Clec4n/Tnfrsf21/C3/Csf1r/Ddit3/Casp1/Slc11a1/Inpp5d/Fcgr2b/Prkcq/Abl1/Hc/Nras/Tlr2/Arhgef2/Hgf/Gpnmb/Tnfrsf1a/Iqgap1/Pycard/Trim30a/Btk/Gas6/Tlr3/Il15/Jak3/Panx1/Traip/Casp4/Cd300ld/Gpsm3/Cd276/Lum/Card11/Inhbb/Spon2/Aim2/Ackr1/Socs1/Nod1/Cd84/Trpm4/Tlr4/C3ar1/Scamp5/Irf8/Tlr1/Tlr9/Cd24a/Ccr2/C5ar1/Nlrc3/Cd14/Tlr6/Ezr/Adam17/Rab7b/Hmgb2/S1pr3/Gdf2/C5ar2/Heg1/Raet1d/Gbp4/Ulbp1/Lrrc32,TRUE
GO:0001817,regulation of cytokine production,119/2653,483/15562,1.0827504146115936e-5,0.0010805849137823704,9.41650939528525e-4,119,bp,treatment-effect-on-ko,NA,Gstp1,TRUE
GO:0001818,negative regulation of cytokine production,49/2653,178/15562,2.984084866112764e-4,0.011724868883387946,0.010217368074522858,49,bp,treatment-effect-on-ko,down,Irf3/Ndrg2/Apoa2/Tusc2/C1qbp/Ndfip1/Apoa1/Atg9a/Map2k5/Gstp1/Ceacam1,FALSE
GO:0001818,negative regulation of cytokine production,49/2653,178/15562,2.984084866112764e-4,0.011724868883387946,0.010217368074522858,49,bp,treatment-effect-on-ko,up,Pparg/Axl/Tgfb1/Relb/Prg4/Dll1/Arrb1/Vsir/Havcr2/Trib2/Hdac7/Nckap1l/Mefv/Tnfrsf21/Slc11a1/Inpp5d/Fcgr2b/Tlr2/Hgf/Gpnmb/Tnfrsf1a/Pycard/Trim30a/Btk/Gas6/Jak3/Traip/Cd276/Inhbb/Cd84/Tlr4/Tlr9/Cd24a/Nlrc3/Ezr/C5ar2/Gbp4/Lrrc32,FALSE
GO:0001818,negative regulation of cytokine production,49/2653,178/15562,2.984084866112764e-4,0.011724868883387946,0.010217368074522858,49,bp,treatment-effect-on-ko,NA,Gstp1,FALSE
GO:0001819,positive regulation of cytokine production,77/2653,323/15562,0.001028928205706643,0.025417582903347273,0.022149569660104965,77,bp,treatment-effect-on-ko,down,Il12rb1/Irf3/Hspb1/Apoa2/Tusc2/C1qbp/Il1rap/Sod1/Park7/Prkcz/Polr3g/B2m,TRUE
GO:0001819,positive regulation of cytokine production,77/2653,323/15562,0.001028928205706643,0.025417582903347273,0.022149569660104965,77,bp,treatment-effect-on-ko,up,Icosl/Tgfb1/Il17ra/Cd36/Stat5a/Ly9/Cd244/Il27ra/Tek/Gprc5b/Lpl/Il17rb/H2-M3/Mapkapk2/Brca1/Sptbn1/Flt4/Havcr2/Sec14l1/Syk/Runx1/Clec4n/C3/Csf1r/Ddit3/Casp1/Slc11a1/Prkcq/Abl1/Hc/Nras/Tlr2/Arhgef2/Hgf/Tnfrsf1a/Pycard/Tlr3/Il15/Panx1/Casp4/Gpsm3/Cd276/Lum/Card11/Spon2/Aim2/Nod1/Cd84/Tlr4/C3ar1/Scamp5/Irf8/Tlr1/Tlr9/Ccr2/C5ar1/Cd14/Tlr6/Adam17/Rab7b/Hmgb2/Gdf2/Heg1/Raet1d/Ulbp1,TRUE
GO:0001848,complement binding,9/2634,17/15510,7.593373275419779e-4,0.01875802293999407,0.01634372017309617,9,mf,treatment-effect-on-ko,down,C8g/C1qbp/Serping1/Masp2/Crp,FALSE
GO:0001848,complement binding,9/2634,17/15510,7.593373275419779e-4,0.01875802293999407,0.01634372017309617,9,mf,treatment-effect-on-ko,up,Apcs/Cd93/C3ar1/C5ar1,FALSE
GO:0001935,endothelial cell proliferation,28/2653,98/15562,0.0030577816654042576,0.05508422566919583,0.04800188508373547,28,bp,treatment-effect-on-ko,down,Apoh/Apoe/Arg1/Atp5a1/F3/Apoa1/Atoh8,FALSE
GO:0001935,endothelial cell proliferation,28/2653,98/15562,0.0030577816654042576,0.05508422566919583,0.04800188508373547,28,bp,treatment-effect-on-ko,up,Cav2/Pdgfb/Acvrl1/Tek/Wnt2/Sparc/Flt4/Itgb3/Vash1/Egfl7/Dll4/Bmp2/Ecm1/Bmper/Loxl2/Prkx/Gja1/Atpif1/Hmgb2/Kdr/Gdf2,FALSE
GO:0001937,negative regulation of endothelial cell proliferation,12/2653,31/15562,0.0033903568689985144,0.05713453761636067,0.04978858240548168,12,bp,treatment-effect-on-ko,down,Apoh/Apoe/Atp5a1/Atoh8,FALSE
