ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,direction,symbols,interesting
GO:0000070,mitotic sister chromatid segregation,21/729,110/15562,3.3367706423259065e-8,1.0952949633434788e-5,9.52150429779489e-6,21,bp,specific-treatment-effect-on-ko,down,Smc3/Chmp5,FALSE
GO:0000070,mitotic sister chromatid segregation,21/729,110/15562,3.3367706423259065e-8,1.0952949633434788e-5,9.52150429779489e-6,21,bp,specific-treatment-effect-on-ko,up,Spag5/Ndc80/Cdca5/Kif18a/Nusap1/Smc2/Stil/Mad2l1/Anapc15/Kif22/Plk1/Ncaph/Ncapd2/Ccnb1/Kif14/Cenpe/Gsg2/Kif18b/Espl1,FALSE
GO:0000075,cell cycle checkpoint,19/729,162/15562,2.109209435589119e-4,0.0076659186258472385,0.006664056677457828,19,bp,specific-treatment-effect-on-ko,down,Ywhaq/Tiprl,FALSE
GO:0000075,cell cycle checkpoint,19/729,162/15562,2.109209435589119e-4,0.0076659186258472385,0.006664056677457828,19,bp,specific-treatment-effect-on-ko,up,Aurkb/Top2a/Casc5/E2f1/Aurka/Stil/Kntc1/Chek2/Mad2l1/Anapc15/Plk1/Dtl/Ttk/Cdk5rap2/Ccnb1/Cenpe/Ticrr/Gsg2,FALSE
GO:0000226,microtubule cytoskeleton organization,40/729,397/15562,4.317722437749586e-6,5.153790509786552e-4,4.480239582136971e-4,40,bp,specific-treatment-effect-on-ko,down,Ube2b/Sbds/Chmp5/Ywhaq/C2cd3/Efna5,FALSE
GO:0000226,microtubule cytoskeleton organization,40/729,397/15562,4.317722437749586e-6,5.153790509786552e-4,4.480239582136971e-4,40,bp,specific-treatment-effect-on-ko,up,Spag5/Bicd1/Kif20a/Kif11/Aurkb/Cep72/Nckap5l/Sgol1/Ndc80/Plk4/Abl1/Kif18a/Nusap1/Tpx2/Aurka/Ect2/Arhgef2/Stil/Stmn1/Rcc1/Chek2/Plk1/Kif23/Aspm/Tacc3/Ckap2/Cdk5rap2/2810417H13Rik/Ccnb1/Cenpe/Kif18b/Ezr/Espl1/Gas2l3/Kifc1,FALSE
GO:0000228,nuclear chromosome,37/738,483/15746,0.002325056771496843,0.026767961292361087,0.022591644743289157,37,cc,specific-treatment-effect-on-ko,down,Ube2b/Thrb/Calcoco1/Smc3/Mcm10/Klf1/Rbbp4,FALSE
GO:0000228,nuclear chromosome,37/738,483/15746,0.002325056771496843,0.026767961292361087,0.022591644743289157,37,cc,specific-treatment-effect-on-ko,up,Uhrf1/Chaf1a/Mcm2/Mcm5/Pole/Tinf2/Aurkb/Top2a/Mcm4/Sgol1/Ndc80/Incenp/Fen1/Cdca5/Sgol2a/Rad51/E2f1/Aurka/Smc2/Orc1/Rcc1/Plk1/Fignl1/Ncapd2/Eme1/Suv39h1/Pif1/Ccnb1/Mcm3/Cenpe,FALSE
GO:0000280,nuclear division,62/729,484/15562,4.439110707152261e-13,1.7485657075472757e-9,1.5200449610911902e-9,62,bp,specific-treatment-effect-on-ko,down,Calr/Ube2b/Meiob/Smc3/Chmp5/Fgfr2,FALSE
GO:0000280,nuclear division,62/729,484/15562,4.439110707152261e-13,1.7485657075472757e-9,1.5200449610911902e-9,62,bp,specific-treatment-effect-on-ko,up,Pdgfb/Spag5/Kif11/Aurkb/Top2a/Cdca3/Sgol1/Ndc80/Incenp/Cdca5/Kif20b/Cep55/Sgol2a/Kif18a/Nusap1/Rad51/Casc5/Tpx2/Aurka/Dsn1/Ccna2/Arhgef2/Pmf1/Smc2/Stil/Rcc1/Kntc1/Chek2/Lfng/Mad2l1/Anapc15/Kif22/Plk1/Mki67/Cenpn/Ccnb2/Kif23/Fanca/Reep4/Aspm/Fancd2/Lif/Ncaph/Cenpt/Ncapd2/Htatip2/Ccnb1/Kif14/Ncapg2/Cdc25c/Cenpe/Cdca2/Gsg2/Kif18b/Espl1/Oip5,FALSE
