rowname,wt-ccl4-1,wt-ccl4-2,wt-ccl4-3,wt-ccl4-4,wt-ccl4-5,wt-untreated-1,wt-untreated-2,wt-untreated-3,wt-untreated-4,wt-untreated-5,yaptaz-ccl4-1,yaptaz-ccl4-2,yaptaz-ccl4-3,yaptaz-untreated-1,yaptaz-untreated-2,yaptaz-untreated-3,yaptaz-untreated-4,mgi_symbol
ENSMUSG00000000001,29.5252,37.76,32.3536,28.1603,31.1993,15.9542,15.1498,23.2989,18.9167,11.1227,32.3035,54.5513,11.1129,37.9768,17.8078,21.5328,23.0226,Gnai3
ENSMUSG00000000028,0.708522,0.779128,1.2146379999999999,0.880114,0.8333725,0.551056,0.269917,0.3805828,0.84724,0.401483,1.678787,2.476116,0.911314,0.243497,0.438544,0.36783520000000003,0.564375,Cdc45
ENSMUSG00000000031,1.5368789999999999,1.9005429999999999,3.28392,2.90627,1.685834,0.0,0.0,0.0,0.0,0.0,4.509029999999999,36.924659999999996,3.690363,0.0,0.22199,0.0911163,0.0,H19
ENSMUSG00000000037,0.0883708,0.10309,0.146824,0.0545301,0.101626,0.0,0.0,0.0,0.0,0.0260837,0.21003139999999998,0.647308,0.166457,0.0,0.0,0.034174,0.0,Scml2
ENSMUSG00000000049,1443.9,2094.06,1572.16,1939.9,1698.31,1296.2,1042.53,1200.66,1192.73,814.432,1489.92,1397.8,714.707,1939.95,1315.51,1316.95,1349.82,Apoh
ENSMUSG00000000056,15.633868,23.763273,21.069072,26.594900000000003,26.216093,15.53101,9.44277,13.944344,15.015539,6.80818,17.277441000000003,14.492712,2.91117,23.217552,5.98754,11.32075,11.373140999999999,Narf
ENSMUSG00000000058,2.592288,0.911994,1.4337680000000002,1.62239,1.35848,0.153129,0.138101,0.656936,0.292536,0.363919,1.94846,9.168054699999999,2.57573,1.07691,0.677725,0.578325,0.317535,Cav2
ENSMUSG00000000078,3.38888,5.01523,3.65632,1.85584,3.01529,0.616901,0.463786,0.227341,0.694858,0.185353,17.1976,13.5913,26.8669,1.4984,0.785618,0.64739,0.836692,Klf6
ENSMUSG00000000085,14.267493500000002,9.683072799999998,8.9934221,9.001469,10.879231500000001,8.185492,5.395809799999999,9.819107,8.287756199999999,4.6919885,14.095643,17.7309525,5.868919,10.866891,4.3244133,5.2042811,10.9943618,Scmh1
ENSMUSG00000000088,239.738,395.105,255.706,392.132,250.098,241.228,205.206,219.718,192.712,125.074,295.441,232.193,140.74,234.073,212.298,270.389,271.601,Cox5a
ENSMUSG00000000093,0.146575,0.116443,0.112088,0.412106,0.248044,0.068017,0.0,0.0422728,0.033414,0.0311359,0.645131,0.457103,1.63745,0.0687611,0.0324772,0.0407933,0.0428579,Tbx2
ENSMUSG00000000094,0.0262458,0.0,0.0,0.0,0.0,0.0,0.021307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020387,0.0,0.0,Tbx4
ENSMUSG00000000120,0.0688523,0.0497268,0.0,0.0921527,0.029702,0.0247605,0.0,0.0,0.0,0.0351273,0.116638,0.0330998,0.0959693,0.0,0.0,0.0,0.0230236,Ngfr
ENSMUSG00000000126,0.160953,0.127946,0.123021,0.15079,0.287342,0.0995661,0.130854,0.0617843,0.347241,0.0114966,0.166364,0.0512229,0.0169053,0.271603,0.195472,0.134172,0.30481,Wnt9a
ENSMUSG00000000127,2.83868,2.46743,2.18643,1.804422,1.74573,1.29611,1.28534,1.4898208000000002,2.37332,0.98457,2.08502,3.533579,1.48707,2.29434,1.565535,2.1002,1.489874,Fer
ENSMUSG00000000131,37.7894591,53.69414069999999,48.7488027,35.107464799999995,46.83303459999999,29.641583899999997,30.487078700000005,37.083298299999996,40.0938929,23.7986123,46.733048100000005,84.718124,29.568584700000002,56.77948700000001,21.5944246,40.63175579999999,37.70723399999999,Xpo6
ENSMUSG00000000134,12.541590999999999,6.9469837000000005,12.47303,15.280666199999999,12.8954086,4.241788,8.520715499999998,11.4549435,8.4297579,7.928575100000001,15.599254,26.547311999999998,7.767982,16.059358,3.895106,10.786047000000002,7.371335,Tfe3
