ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,direction,symbols,interesting
GO:0000070,mitotic sister chromatid segregation,32/2924,110/15562,0.005657870624815455,0.045672296474595496,0.03649034515344678,32,bp,treatment-effect-on-ko,down,Pttg1/Psmg2/Dis3l2,FALSE
GO:0000070,mitotic sister chromatid segregation,32/2924,110/15562,0.005657870624815455,0.045672296474595496,0.03649034515344678,32,bp,treatment-effect-on-ko,up,Spag5/Cdc6/Ndc80/Cep192/Cdca5/Chmp6/Nek2/Kif18a/Nusap1/Knstrn/Bub1/Smc2/Stil/Cit/Mad2l1/Anapc15/Kif22/Plk1/Smc4/Ncaph/Ncapd2/Ccnb1/Kif14/Cenpe/Gsg2/Gen1/Kif18b/Espl1/Psrc1,FALSE
GO:0000086,G2/M transition of mitotic cell cycle,25/2924,83/15562,0.008435469378008233,0.06057295429537502,0.048395377062584344,25,bp,treatment-effect-on-ko,down,Tpd52l1,FALSE
GO:0000086,G2/M transition of mitotic cell cycle,25/2924,83/15562,0.008435469378008233,0.06057295429537502,0.048395377062584344,25,bp,treatment-effect-on-ko,up,Foxm1/Ier3/Calm3/Ctc1/Rnaseh2b/App/Fhl1/Lmnb1/Cenpf/Prkcq/Mastl/Ccna2/Cit/Chek2/Plk1/Fanci/Abcb1a/Kif14/Clspn/Cdc25c/Ticrr/Skp2/Rad51b/Ccnd1,FALSE
GO:0000226,microtubule cytoskeleton organization,98/2924,397/15562,0.0019065848069335458,0.021085820078443465,0.016846730116447352,98,bp,treatment-effect-on-ko,down,Mid1ip1/Sirt2/Ube2b/Sbds/Pex14/Prkcz/Dixdc1/Uvrag/Wdr81/C2cd3/Efna5/Bcas3,FALSE
GO:0000226,microtubule cytoskeleton organization,98/2924,397/15562,0.0019065848069335458,0.021085820078443465,0.016846730116447352,98,bp,treatment-effect-on-ko,up,Spag5/Bicd1/Kif20a/Spc25/Nav1/Spire2/Kif11/Trpv4/Brca1/Map1s/Sgk1/Mdm1/Aurkb/Nin/Cep72/Plk2/Ska3/Bora/Nde1/Nckap5l/Racgap1/Sgol1/Ndc80/Spire1/Cep192/Plk4/Rgs2/Srgap2/Nek2/Abl1/Kif18a/Nusap1/Knstrn/Tpx2/Aurka/Ect2/Gpsm2/Arhgef2/Lmna/Stil/Capzb/Stmn1/Rcc1/Chek2/Tuba8/Plk1/Flna/Ccsap/Kif23/Tubgcp5/Aspm/Gas2l1/Kif4/Inpp5j/Mid1/Haus8/Ska1/Wdr62/Spry1/Tacc3/Cep85/Ckap2/Cntln/Cep250/Nlrc4/Ywhaq/Cdk5rap2/Cc2d2a/Mcph1/2810417H13Rik/Ckap5/Ofd1/Ccnb1/Cenpe/Phldb1/Gen1/Kif18b/Ezr/Eml1/Espl1/Gda/Cenpj/Capn6/Psrc1/Gas2l3/Aunip/Kifc1,FALSE
GO:0000280,nuclear division,134/2924,484/15562,7.876893841235607e-7,5.203932102216313e-5,4.157734408441675e-5,134,bp,treatment-effect-on-ko,down,Calr/Phb2/Sirt2/Actr8/Top2b/Igf1/Ube2b/Pttg1/Tom1l1/Meiob/Psmg2/Jtb/Sh2b1/Fgfr2/Dis3l2/Tcf7l1/Klhl21,FALSE
GO:0000280,nuclear division,134/2924,484/15562,7.876893841235607e-7,5.203932102216313e-5,4.157734408441675e-5,134,bp,treatment-effect-on-ko,up,Pdgfb/Spag5/Rec8/Tgfb1/Spc25/Bmp7/Spire2/Kif11/Cdc6/Ywhah/Fam64a/Aurkb/Top2a/Nedd9/Trip13/Ska3/Bora/Sh3bp1/Nde1/Mis18a/Racgap1/Cdca3/Sgol1/Ndc80/Tnf/Spire1/Cep192/Pdgfrb/Incenp/Cdca5/Kif20b/Cep55/Chmp6/Sgol2a/Actr3/Nek2/Mastl/Kif18a/Nusap1/Rad51/Casc5/Cdc25b/Knstrn/Bub1/Il1a/Tpx2/Aurka/Lrrcc1/Dsn1/Ccna2/Arhgef2/Pmf1/Gem/Smc2/Ndc1/Stil/Rcc1/Kntc1/Anapc5/Cit/Chek2/Lfng/Mad2l1/Anapc15/Kif22/Plk1/Mki67/Flna/Cenpn/Ccsap/Ccnb2/Kif23/Zwilch/Topbp1/Syde1/Fanca/Ttc28/Reep4/Tubgcp5/Aspm/Fancd2/Kif4/Smc4/Lif/Ncaph/Haus8/Ska1/Cenpt/Cep85/Ncapd2/Nlrc4/Htatip2/Ckap5/Rbbp8/Ccnb1/Kif14/Ncapg2/Cdc25c/Cenph/Cenpe/Mis18bp1/Cdca2/Gsg2/Ercc6l/Gen1/Kif18b/Espl1/Rad51b/Ube2s/Cks2/Tubb3/Nsl1/Psrc1/Oip5/Apitd1/Spc24/Cenpw,FALSE
GO:0000302,response to reactive oxygen species,50/2924,148/15562,9.785092492927958e-6,3.930475952559302e-4,3.1402936834146053e-4,50,bp,treatment-effect-on-ko,down,Sod2/Endog/Glrx2/Sod1/Prdx5/Prdx6/Cat/Pink1/Park7/Ppargc1b/Gch1/Pdk2/Fabp1/Gstp1/Gpx1/Txnrd2,FALSE
GO:0000302,response to reactive oxygen species,50/2924,148/15562,9.785092492927958e-6,3.930475952559302e-4,3.1402936834146053e-4,50,bp,treatment-effect-on-ko,up,Mapk7/Akr1b3/Axl/Cd36/Nqo1/Psap/Aqp1/Hmox1/Epor/Fbln5/Akr1c18/Mtr/Tnf/Impact/Anxa1/Hk3/Lcn2/Abl1/Ect2/Nr4a3/Hgf/Nos3/Pdgfra/Btk/Mmp2/Apoa4/Nudt15/Ucp2/Thbs1/Rhob/Slc8a1/Lig1/Bcl2/Sod3,FALSE
