ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
GO:0001525,angiogenesis,32/459,394/15562,2.3253888765011327e-7,4.6066407508895643e-4,4.304795233627675e-4,32,bp,treatment-effect-on-wt,54409/13642/12491/16600/11826/21687/13713/12490/20692/14257/68585/14756/16840/11504/109901/20671/353156/15530/17304/14183/13666/73230/74144/84004/12306/19274/69903/108961/20672/54598/16542/68545,Ramp2/Efnb2/Cd36/Klf4/Aqp1/Tek/Elk3/Cd34/Sparc/Flt4/Rtn4/Gpld1/Lect1/Adamts1/Cela1/Sox17/Egfl7/Hspg2/Mfge8/Fgfr2/Eif2ak3/Bmper/Robo4/Mcam/Anxa2/Ptprm/Rasip1/E2f8/Sox18/Calcrl/Kdr/Ecscr
GO:0001935,endothelial cell proliferation,11/459,98/15562,1.449640202901896e-4,0.04880092475664897,0.04560329308259565,11,bp,treatment-effect-on-wt,21687/12490/20692/14257/16840/353156/73230/11806/19274/14609/16542,Tek/Cd34/Sparc/Flt4/Lect1/Egfl7/Bmper/Apoa1/Ptprm/Gja1/Kdr
GO:0002040,sprouting angiogenesis,9/459,63/15562,8.988817889155466e-5,0.039539562689922605,0.036948772481212734,9,bp,treatment-effect-on-wt,54409/13642/16600/21687/14257/14756/73230/108961/16542,Ramp2/Efnb2/Klf4/Tek/Flt4/Gpld1/Bmper/E2f8/Kdr
GO:0004497,monooxygenase activity,14/446,121/15510,9.86219866696851e-6,0.0029438125159814434,0.002804903032468707,14,mf,treatment-effect-on-wt,59012/105349/76279/56050/13122/666168/13119/13088/13123/337924/13117/13105/13086/13101,Moxd1/Akr1c18/Cyp2d26/Cyp39a1/Cyp7a1/Cyp4a31/Cyp4a14/Cyp2b10/Cyp7b1/Cyp3a44/Cyp4a10/Cyp2d9/Cyp2a4/Cyp2d10
GO:0004714,transmembrane receptor protein tyrosine kinase activity,7/446,53/15510,7.622165153347267e-4,0.03868248815323738,0.03685718018230422,7,mf,treatment-effect-on-wt,12305/16590/21687/14257/14183/18212/16542,Ddr1/Kit/Tek/Flt4/Fgfr2/Ntrk2/Kdr
GO:0004867,serine-type endopeptidase inhibitor activity,9/446,81/15510,5.173420308555464e-4,0.03113911072042831,0.02966975159387452,9,mf,treatment-effect-on-wt,20568/67701/11820/20730/21788/331535/68054/12406/20704,Slpi/Wfdc2/App/Spink1/Tfpi/Serpina7/Serpina12/Serpinh1/Serpina1e
GO:0005178,integrin binding,10/446,92/15510,3.0676966442948276e-4,0.020758080626395,0.019778570469795597,10,mf,treatment-effect-on-wt,15896/13132/12825/14118/22329/12527/17304/11491/16779/16542,Icam2/Dab2/Col3a1/Fbn1/Vcam1/Cd9/Mfge8/Adam17/Lamb2/Kdr
GO:0005201,extracellular matrix structural constituent,7/446,28/15510,1.0876154615694987e-5,0.0029438125159814434,0.002804903032468707,7,mf,treatment-effect-on-wt,69675/12825/12831/14118/12843/13717/373864,Pxdn/Col3a1/Col5a1/Fbn1/Col1a2/Eln/Col27a1
GO:0005549,odorant binding,5/446,16/15510,6.459371821833692e-5,0.007492871313327083,0.007139305697816185,5,mf,treatment-effect-on-wt,17843/17844/17842/17840/100039206,Mup4/Mup5/Mup3/Mup1/Mup17
GO:0005578,proteinaceous extracellular matrix,28/464,285/15746,2.5605775385766838e-8,3.3628918339973783e-6,2.955894772602558e-6,28,cc,treatment-effect-on-wt,12833/18073/20692/57764/21859/69675/14756/16840/17181/67896/11504/12825/12831/14118/15530/12843/13717/12830/12306/26944/216725/108075/373864/235379/399558/16779/16852/100503386,Col6a1/Nid1/Sparc/Ntn4/Timp3/Pxdn/Gpld1/Lect1/Matn2/Ccdc80/Adamts1/Col3a1/Col5a1/Fbn1/Hspg2/Col1a2/Eln/Col4a5/Anxa2/Tinag/Adamts2/Ltbp4/Col27a1/Gldn/Flrt2/Lamb2/Lgals1/Tpbgl
