id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,mgi_symbol
ENSMUSG00000057262,232.029882591624,-5.82687688863746,0.410143583677999,-14.2069195289718,8.29968823457367e-46,6.45798741532177e-42,Gm10020
ENSMUSG00000040808,9.07689902620857,3.28163250567281,0.453758881812367,7.23210638338489,4.75559422394442e-13,2.55195025217321e-10,S100g
ENSMUSG00000079507,92.8674916176183,2.42050964232009,0.334987136873049,7.22567936463005,4.98602897938623e-13,2.58641943257362e-10,H2-Q1
ENSMUSG00000028445,446.248156097886,-1.31185901129041,0.201817032552868,-6.50023932418467,8.01923331209374e-11,3.04378801958055e-08,Enho
ENSMUSG00000068854,23.8412551016612,1.56838369250232,0.243339130296463,6.44525888866101,1.15403254587126e-10,4.27596535210681e-08,Hist2h2be
ENSMUSG00000024503,11.0155621631579,2.66454279702211,0.420438416744494,6.33753408561945,2.33471570572197e-10,8.25746495737394e-08,Spink1
ENSMUSG00000032357,4.65487552348467,2.87071760407677,0.474099151540588,6.05509964476494,1.40330770786104e-09,4.74745098907251e-07,Tinag
ENSMUSG00000045284,80.4536374595394,0.907145428780608,0.177923057356026,5.09852653310358,3.42307557487324e-07,7.50280311213766e-05,Dcaf12l1
ENSMUSG00000029208,189.646894457361,0.627201155365191,0.126704290818446,4.95011772145826,7.41686051015542e-07,0.000139061666577155,Guf1
ENSMUSG00000021335,115.054682942224,0.820883283353293,0.170796644039985,4.80620265092047,1.53823982737897e-06,0.000254715564903595,Slc17a1
ENSMUSG00000022025,18.0096061686724,-1.93933167425118,0.405791700912892,-4.77913094301424,1.76054512425563e-06,0.000279567379833328,Lect1
ENSMUSG00000027965,92.0578590358732,1.25890254436999,0.281770733070802,4.46782577682992,7.90186190383567e-06,0.000938692938530463,Olfm3
ENSMUSG00000025037,117.96102558159,0.863551366334736,0.200875769786596,4.29893245587632,1.71622761028777e-05,0.00175090601188106,Maoa
ENSMUSG00000015451,1162.36101707839,-1.37792601516464,0.32209895268934,-4.27795869455569,1.88615008668443e-05,0.0018577384587964,C4a
